cases,hubs,authorities,hubs_normalized,authorities_normalized,auth_by_hand,auth_by_hand_norm,hubs_by_hand,hubs_by_hand_norm
Obergefell_v_Hodges,-2.771132755045021,0.0,0.5308637431808243,-0.0,0.0,0.0,0.9297364094109289,0.5308637431808243
Lawrence_v_Texas,-9.705431710774008e-17,-0.3119337351884763,4.497796639272608e-18,0.1057401903383881,0.3119337351884763,0.1057401903383881,4.066774422723707e-48,2.3220593179598086e-48
Bowers_v_Hardwick,0.0,-0.3119337351884763,-0.0,0.1057401903383881,0.3119337351884763,0.1057401903383881,0.0,0.0
Zablocki_v_Redhail,-0.4709829083630308,-0.3119337351884763,0.090225828860995,0.1057401903383881,0.3119337351884763,0.1057401903383881,0.15801839782599908,0.09022582886099505
Turner_v_Safley,-0.4709829083630308,-0.3119337351884763,0.090225828860995,0.1057401903383881,0.3119337351884763,0.1057401903383881,0.15801839782599908,0.09022582886099505
Windsor_v_United_States,-0.4709829083630308,-0.3119337351884764,0.090225828860995,0.1057401903383882,0.3119337351884763,0.1057401903383881,0.15801839782599908,0.09022582886099505
PPvCasey,-0.4829059487082763,-3.388822128985101e-17,0.0925099164119251,-7.4773829211184595e-19,2.4143742988684527e-48,8.184315100006983e-49,0.162018669808519,0.09250991641192509
Roe_v_Wade,-0.5530578099621563,-0.0543585131571439,0.1059488538242654,0.0184266043692747,0.0543585131571439,0.0184266043692747,0.18555516024800947,0.10594885382426551
Griswold_v_Connecticut,4.761574633075206e-17,-0.4285474355511323,7.989756755764545e-18,0.1452702362468902,0.4285474355511323,0.1452702362468902,7.89086496622419e-96,4.5055502511279415e-96
Lochner_v_New_York,0.0,-0.0622551872055119,-0.0,0.0211034415392272,0.0622551872055119,0.0211034415392273,0.0,0.0
NAACP_v_State_of_Alabama,0.0,4.761574633075206e-17,-0.0,1.4137921521694513e-17,4.684671336536414e-96,1.588023297636746e-96,0.0,0.0
Union_Pacific_Railroad_v_Botsford,0.0,-0.0622551872055119,-0.0,0.0211034415392272,0.0622551872055119,0.0211034415392273,0.0,0.0
Loving_v_Virginia,0.0,-0.4709829083630308,-0.0,0.1596551342750514,0.470982908363031,0.1596551342750514,0.0,0.0
Baker_v_Nelson,0.0,-0.3119337351884763,-0.0,0.1057401903383881,0.3119337351884763,0.1057401903383881,0.0,0.0
County_of_Sacramento_vs._Lewis,0.0,1.745440856195983e-18,-0.0,1.5009797295774782e-17,2.4143742988684527e-48,8.184315100006983e-49,0.0,0.0
Romer_v_Evans,0.0,-6.491153667408505e-17,-0.0,-6.303181424480298e-18,2.4143742988684527e-48,8.184315100006983e-49,0.0,0.0
